,C22008638LR01-ISM012-042-Day2-940,C22008619LR01-sham-Day2-951,C22008628LR01-Vehicle-Day2-935,C22008626LR01-Vehicle-Day2-986,C22008627LR01-Vehicle-Day2-975,C22008621LR01-sham-Day2-992,C22008624LR01-Vehicle-Day2-966,C22008640LR01-ISM012-042-Day2-976,C22008639LR01-ISM012-042-Day2-1000,C22008637LR01-ISM012-042-Day2-967,C22008620LR01-sham-Day2-981,C22008623LR01-sham-Day2-995,C22008618LR01-sham-Day2-942,C22008641LR01-ISM012-042-Day2-950,C22008622LR01-sham-Day2-953,C22008625LR01-Vehicle-Day2-977,C22008629LR01-Vehicle-Day2-999,C22008636LR01-ISM012-042-Day2-963
Ppp1r14a,48.544,62.15,54.789,43.534,81.456,43.051,34.249,51.534,56.594,88.98,86.758,59.911,39.348,60.987,52.992,39.064,45.716,48.754
Dpf1,0.16,0.191,0.297,0.617,0.695,0.137,0.12,0.25,0.317,1.006,0.183,0.278,0.324,0.572,0.171,0.307,0.364,0.434
Sipa1l3,24.376,24.503,11.417,15.603,13.728,35.672,15.956,17.955,21.046,22.224,22.936,25.31,29.285,22.621,30.644,16.516,20.349,19.962
4932431P20Rik,0.013,0,0.006,0,0,0.009,0,0,0.008,0.009,0.007,0,0,0,0.017,0,0,0.008
Gm38982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4930432E11Rik,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.015,0.029,0,0.015
LOC108167415,2.458,0.951,0.361,0.511,0.434,0.849,2.248,0.298,1.197,3.317,0.99,0.514,0.915,0.557,1.896,2.193,4.676,0.585
Catsperg2,0.066,0.071,0.05,0.107,0.1,0.027,0,0.166,0.169,0.073,0.086,0.024,0.09,0.112,0.055,0.086,0.104,0.112
Gm38983,0.491,0.618,0.109,0.102,0.341,1.286,0.45,0.616,0.512,0.472,0.702,0.874,0.766,1.344,0.546,0.225,0.843,0.311
Zfp84,8.07,6.366,3.5,3.381,3.991,8.412,6.61,5.652,5.867,6.703,3.908,6.396,7.046,8.02,6.078,6.14,6.992,5.956
Mir1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp30,1.723,0.58,0.763,0.761,0.97,1.159,0.875,1.188,1.147,1.415,0.511,0.838,0.633,1.562,1.033,0.596,1.071,0.751
Gm6579,0.506,0.264,0.234,0.277,0.051,0.312,0.296,0.366,0.219,0.755,0.099,0.136,0.241,0.058,0.241,0.683,0.647,0.342
Zfp790,6.139,3.48,2.361,2.285,3.267,4.763,4.26,4.762,5.006,5.816,2.479,3.829,4.754,5.443,3.177,4.709,5.505,4.412
Zfp940,1.132,0.44,0.217,0.103,0.38,0.308,0.612,0.413,0.337,1.37,0.392,0.404,0.443,0.487,0.633,0.591,0.491,0.282
Zfp420,1.865,0.832,0.499,0.592,1.168,1.369,1.143,0.978,1.084,1.916,0.936,1.1,1.696,1.362,0.951,1.135,1.452,0.917
Zfp27,3.391,2.209,1.463,1.434,1.94,2.887,2.519,2.084,2.405,3.224,1.724,3.15,2.978,2.93,1.777,2.268,2.438,2.7
Mir7668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp383,4.7,3.013,1.601,2.392,2.642,4.506,3.728,2.944,3.858,4.664,3.092,3.716,3.21,3.882,3.575,3.402,3.213,3.281
Zfp74,3.508,2.35,1.226,1.423,1.953,2.731,1.813,2.313,2.756,3.555,2.12,2.606,2.908,3.386,2.604,2.251,2.678,1.975
C230062I16Rik,1.878,0.824,0.409,0.442,1.172,1.733,1.123,1.19,1.568,1.996,1.111,1.491,1.431,2.039,1.284,0.597,1.275,1.079
Gm31735,0,0.101,0.118,0,0.156,0.096,0.09,0.159,0,0.195,0,0.208,0.092,0.089,0.089,0.088,0,0
Zfp568,4.383,2.585,1.612,1.4,2.613,3.08,3.236,3.01,3.287,5.64,1.962,2.976,3.248,4.556,2.181,4.58,4.348,3.497
Zfp14,0.939,0.787,0.344,0.287,0.531,0.891,0.418,0.762,0.438,1.062,0.525,0.636,0.345,0.719,0.486,0.379,0.467,0.507
Zfp82,2.967,1.269,0.876,0.625,1.364,2.596,0.958,2.386,1.919,2.401,0.978,1.901,1.983,3.201,1.6,2.364,1.852,2.052
Zfp566,2.741,1.856,0.96,1.004,2.131,2.351,1.663,2.108,3.462,3.221,1.273,2.43,1.574,3.007,1.913,2.36,3.027,2.148
Zfp260,26.576,18.921,9.306,10.299,17.987,26.051,25.648,18.146,21.239,28.856,12.908,22.055,24.291,31.271,17.983,21.78,20.493,21.463
Zfp382,1.716,0.867,0.43,0.545,0.803,0.551,0.704,0.778,0.853,2.858,0.502,1.288,0.62,0.965,0.752,0.867,0.669,0.572
Zfp146,29.862,19.584,11.038,12.076,19.934,23.191,21.53,21.585,25.299,32.155,13.921,24.521,22.242,30.623,18.312,31.714,30.55,26.623
Gm5113,1.776,1.117,0.627,0.62,0.874,1.931,1.88,1.559,1.754,2.117,1.027,1.404,1.631,2.51,1.045,1.438,1.99,1.471
Cox7a1,116.732,214.308,73.316,92.94,114.959,170.4,125.911,98.727,106.736,109.855,178.351,110.155,183.107,172.073,135.071,112.828,102.842,91.735
Capns1,240.82,179.877,159.89,215.767,215.874,134.42,212.988,178.359,200.502,326.971,162.835,166.848,179.799,210.822,165.262,252.941,244.774,251.255
Tbcb,42.716,44.373,35.78,48.808,45.916,30.978,45.749,36.557,45.874,62.609,41.465,31.687,41.224,43.691,36.688,50.22,49.638,52.421
Polr2i,38.273,29.456,37.808,40.326,43.463,28.799,36.345,39.42,46.903,41.504,33.492,30.102,31.719,33.89,32.851,45.339,40.821,40.144
Ovol3,0,0,0.044,0,0,0,0,0.056,0,0,0,0,0,0,0,0,0,0
Wdr62,5.026,2.659,3.383,6.021,4.657,3.504,2.864,6.698,6.555,5.008,3.483,5.685,5.42,7.361,2.701,4.251,6.319,7.817
LOC108167416,0,0,0,0.16,0,0.209,0,0,0,0,0,0,0,0.198,0.197,0,0,0
Thap8,0.087,0,0.081,0,0,0,0.113,0,0.108,0,0.1,0.131,0,0,0,0,0,0
Clip3,4.498,2.926,4.503,5.057,4.888,3.267,2.144,3.306,4.307,9.047,4.51,3.752,2.441,3.732,2.704,2.542,2.965,3.28
Alkbh6,22.369,14.651,13.335,15.671,16.035,16.404,16.949,15.633,17.783,19.976,14.926,15.452,14.965,14.121,15.047,16.229,19.091,18.421
Syne4,1.479,0.958,0.718,0.467,0.859,0.459,2.767,0.507,0.681,2.022,0.188,0.741,1.71,1.377,0.357,1.93,1.103,0.935
Sdhaf1,33.271,18.249,34.297,32.177,31.544,18.415,29.039,20.507,29.106,34.102,20.365,22.476,17.377,27.838,21.896,29.477,32.602,37.526
4930479H17Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
