,C22008638LR01-ISM012-042-Day2-940,C22008619LR01-sham-Day2-951,C22008628LR01-Vehicle-Day2-935,C22008626LR01-Vehicle-Day2-986,C22008627LR01-Vehicle-Day2-975,C22008621LR01-sham-Day2-992,C22008624LR01-Vehicle-Day2-966,C22008640LR01-ISM012-042-Day2-976,C22008639LR01-ISM012-042-Day2-1000,C22008637LR01-ISM012-042-Day2-967,C22008620LR01-sham-Day2-981,C22008623LR01-sham-Day2-995,C22008618LR01-sham-Day2-942,C22008641LR01-ISM012-042-Day2-950,C22008622LR01-sham-Day2-953,C22008625LR01-Vehicle-Day2-977,C22008629LR01-Vehicle-Day2-999,C22008636LR01-ISM012-042-Day2-963
Xkr4,0.657,0.471,0.158,0.262,0.422,0.471,0.915,0.17,0.274,0.726,0.164,0.214,0.25,0.53,0.359,0.534,0.308,0.316
Gm39585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38717,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0
Sox17,0.889,0.644,0.706,0.735,1.602,0.487,0.391,0.998,1.174,2.298,0.597,0.537,0.253,0.82,0.907,0.797,0.852,1.237
LOC108167609,0,0,0.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm39586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC108167610,0,0,0,0.08,0,0,0,0,0,0.109,0,0,0,0,0,0,0,0
Gm29874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0
Mrpl15,26.177,24.436,13.36,15.737,17.586,24.734,26.672,21.134,24.466,26.539,16.114,27.052,28.848,26.508,19.976,31.884,30.714,24.993
Lypla1,99.705,92.227,42.886,81.043,61.503,110.961,117.946,93.87,95.569,93.948,55.828,109.288,120.306,108.313,80.779,104.939,112.216,104.133
Gm39587,1.109,0,1.962,1.178,0,0,1.462,0.652,0,0,0.628,0,0.738,0.727,0.728,0,0.722,1.422
Tcea1,56.149,43.822,26.618,38.788,39.201,52.791,54.609,45.216,53.285,60.444,31.596,49.303,47.647,54.907,42.797,67.856,66.103,61.077
Rgs20,0.045,0.139,0.194,0.11,0.061,0.3,0.142,0.111,0.165,0.251,0,0.063,0.144,0.139,0.069,0.21,0,0.114
Gm16041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atp6v1h,38.591,36.231,19.491,34.244,34.555,39.202,44.339,40.972,45.434,44.617,25.668,43.454,38.61,44.879,36.345,49.752,48.872,50.297
Oprk1,0.618,0.234,1.056,1.056,0.899,0.3,0.18,0.904,1.474,0.157,0.255,0.725,0.63,1.572,0.122,0.164,0.893,0.665
Npbwr1,0.376,0.22,0,0.019,0.022,0.158,0.639,0,0.046,0.555,0.083,0.029,0.075,0.025,0.145,0.286,0.323,0
LOC108167788,0,0.539,0.111,0.129,0.144,0.171,0.641,0.286,0,0,0,0.555,0.488,0.16,0.48,0,0.161,0
4732440D04Rik,2.607,2.166,0.724,1.226,0.811,2.936,1.557,1.533,2.056,1.747,2.15,3.842,2.296,1.978,2.207,1.147,1.986,1.179
Rb1cc1,20.65,21.143,8.586,14.651,11.473,30.185,27.528,16.877,22.292,20.533,13.917,22.754,24.971,24.541,18.113,20.383,18.619,15.782
Fam150a,0.374,0,0.302,0,1.527,0,0.165,0,0.155,4.326,0.128,0.193,0.168,0.326,0.157,2.4,0.333,0.326
LOC108167611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St18,0.694,0.511,0.271,0.441,0.504,1.429,0.681,0.304,0.69,0.325,0.406,1.115,0.76,0.838,0.52,0.602,0.662,0.505
Pcmtd1,28.45,24.047,15.242,17.752,21.818,37.947,27.948,27.055,29.397,28.753,23.337,31.618,28.476,35.475,25.325,20.722,23.677,24.392
Gm26901,0.086,0.095,0.11,0.071,0,0,0.062,0.17,0.062,0.053,0.018,0.06,0.032,0.154,0.075,0.325,0.102,0.107
Gm39589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sntg1,0.032,0.046,0.05,0.085,0.024,0.06,0.028,0.049,0.088,0.059,0,0.081,0.169,0.069,0.02,0,0.085,0.03
Gm30719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rrs1,13.893,7.482,8.489,6.503,11.29,6.941,11.277,9.895,12.403,21.536,6.266,8.879,7.551,10.366,6.967,21.325,18.388,20.047
Adhfe1,1.235,3.124,2.291,2.341,7.884,0.698,0.322,10.067,6.651,4.361,0.382,11.617,1.04,1.922,0.405,0.737,8.204,7.846
2610203C22Rik,0.637,0.653,0.32,0.129,0.214,0.271,0.589,0.447,0.393,0.892,0.748,0.197,1.8,0.663,0.407,0.327,0.421,0.576
3110035E14Rik,0.022,0.032,0.019,0.022,0.1,0.031,0,0.025,0,0,0.048,0.1,0.088,0.028,0,0.028,0,0.028
Mybl1,1.448,0.593,0.958,0.491,0.667,0.504,1.249,0.78,0.983,3.109,0.49,0.685,0.911,1.129,0.988,2.234,1.333,1.332
Vcpip1,10.249,9.245,3.904,6.09,5.748,9.913,11.062,6.698,8.909,10.045,5.391,9.788,11.15,9.951,7.905,10.626,9.719,8.496
1700034P13Rik,0.154,0,0.095,0,0,0.072,0.201,0.356,0.064,0.362,0.117,0.155,0.136,0.068,0.335,0.066,0.137,0.202
Gm39590,0,0,0,0,0,0,0,0,0,0.058,0,0,0,0,0.201,0.055,0,0
Sgk3,3.948,2.442,1.549,2.049,2.335,2.262,2.666,2.474,2.843,6.263,1.169,2.921,2.801,2.95,2.183,4.529,2.527,3.6
Mcmdc2,0.028,0,0,0,0,0,0,0,0,0.021,0.06,0,0.01,0,0,0.031,0,0.01
Snhg6,19.5,19.024,18.324,25.674,17.188,22.706,15.782,15.906,20.965,34.087,22.439,16.596,16.855,11.497,16.029,26.499,23.907,21.31
Snord87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tcf24,0.335,0.087,0.345,0.562,0.375,0.127,0.26,0.454,0.897,0.521,0.151,0.465,0.133,0.077,0.137,0.581,0.755,1.151
Ppp1r42,0.068,0,0,0,0.081,0.018,0,0.045,0.016,0.018,0,0.221,0.017,0,0,0.275,0,0
Cops5,44.238,40.308,21.229,37.949,37.55,40.36,49.098,38.539,47.27,58.058,32.339,43.069,42.237,44.271,37.191,57.984,54.701,52.067
Cspp1,9.17,7.812,2.775,5.036,4.636,9.248,8.273,7.112,8.215,9.006,7.521,9.57,8.124,9.999,8.501,6.552,6.942,7.014
Arfgef1,54.155,37.837,22.511,37.522,30.892,51.535,58.998,49.246,53.386,47.552,25.66,50.977,52.661,54.231,37.65,60.226,59.044,56.568
Cpa6,1.102,1.131,0.683,1.158,1.842,1.078,0.695,1.056,0.987,0.931,1.33,2.134,1.699,2.013,1.333,0.354,0.525,1.496
Prex2,1.79,1.898,1.965,1.756,2.449,2.184,1.305,1.902,2.527,5.796,1.49,2.53,1.793,2.26,1.895,2.483,2.525,2.129
A830018L16Rik,0.192,0.092,0.093,0.09,0.267,0.203,0.114,0.16,0.365,0.223,0.065,0.195,0.102,0.149,0.095,0.048,0.259,0.075
Gm30898,0.011,0,0,0,0,0,0.015,0.013,0,0,0,0,0,0.015,0,0,0.015,0
Gm30974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm39591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir6341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm17644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulf1,12.206,5.273,3.598,2.953,6.647,4.725,11.608,2.798,3.937,33.839,2.408,5.31,4.511,5.355,4.456,9.084,3.45,5.414
Slco5a1,0.49,0.069,0.042,0.031,0.079,0.088,0.062,0.093,0.058,0.411,0.076,0.293,0.13,0.071,0.103,0.089,0.082,0.079
Gm39592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prdm14,2.63,1.995,0.117,0.109,0.212,3.586,4.373,0.425,0.703,2.07,1.897,0.276,0.312,1.215,1.667,0.761,1.055,0.763
Ncoa2,14.36,12.854,6.092,10.149,7.328,17.481,11.826,11.008,13.134,14.853,8.615,13.532,15.755,13.822,11.019,9.545,11.854,11.348
Gm39595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tram1,79.749,56.032,28.753,45.584,62.461,60.412,91.375,59.516,60.863,97.626,36.613,56.497,59.525,76.235,49.489,87.081,82.714,95.742
Lactb2,24.384,29.625,10.592,16.689,18.654,32.183,26.105,26.812,24.019,23.728,15.482,34.463,26.77,33.017,24.51,27.737,28.271,33.978
Xkr9,1.421,3.731,1.297,4.638,1.42,3.248,2.972,3.366,3.44,1.36,2.401,3.466,2.844,1.496,5.171,1.629,3.535,4.66
Gm5523,0.059,0,0.164,0.063,0,0.082,0.154,0.069,0.073,0,0.138,0,0.079,0,0.232,0.15,0,0
Gm31195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm39596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eya1,0.222,0.142,0.198,0.067,0.093,0.092,0.065,0.11,0.16,0.253,0.34,0.125,0.106,0.214,0.105,0.147,0.194,0.042
Msc,2.675,0.574,1.565,1.27,0.708,0.253,0.505,1.058,0.552,2.62,0.281,0.335,0.513,0.238,0.769,1.128,0.605,0.619
LOC105243866,0.148,0.048,0.092,0.174,0.119,0.163,0.022,0.096,0.153,0.086,0.033,0.204,0.154,0.021,0.041,0.084,0.196,0.021
Trpa1,1.564,0.806,0.218,0.387,0.862,0.573,0.436,0.262,0.735,1.35,0.452,0.752,0.838,0.561,0.637,1.578,1.133,1.593
Kcnb2,0.317,0.255,0.255,0.199,0.302,0.321,0.206,0.116,0.233,0.164,0.234,0.471,0.266,0.396,0.173,0.162,0.219,0.104
Terf1,12.281,8.987,4.22,7.114,5.972,8.35,17.565,7.936,9.034,18.276,7.173,9.348,9.32,10.468,9.472,16.38,14.222,11.396
Sbspon,0.137,0.04,0.07,0.223,0.53,0.116,0.108,0.159,0.303,0.573,0.088,0.293,0.84,0.676,0.28,0.07,0.18,0.494
Gm31523,0.036,0,0,0,0,0,0,0.126,0,0,0,0.055,0,0.047,0,0,0,0.046
Gm7634,0,0.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301,0
4930444P10Rik,0.112,0,0,0.122,0,0,0,0,0.139,0,0,0,0,0,0.3,0,0,0
Rpl7,1719.447,1192.72,959.344,1099.075,957.282,1278.918,1628.156,1341.982,1412.647,1704.537,867.09,1094.023,1181.078,1308.556,1091.808,1696.809,1496.814,1149.665
Rdh10,25.054,17.153,11.102,17.469,14.11,20.043,33.991,17.567,20.291,47.916,18.955,17.68,15.401,15.176,20.559,32.742,25.691,16.86
Stau2,11.755,9.552,6.858,10.436,8.689,12.146,9.578,11.145,11.817,11.556,5.908,12.662,10.835,14.883,9.191,11.521,12.742,11.832
LOC102634042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ube2w,18.209,14.355,8.699,7.772,11.392,16.614,15.888,13.427,16.326,22.103,9.444,14.216,12.643,17.101,12.842,18.073,16.89,14.3
LOC108167614,0.481,0.37,0.023,0.163,0.091,0.225,0.141,0.172,0.279,0.243,0.185,0.431,0.232,0.45,0.238,0.051,0.194,0.12
Tceb1,65.914,59.916,36.463,42.597,53.984,46.668,71.324,42.527,49.831,83.009,46.244,62.081,57.727,63.465,59.484,80.976,68.38,60.178
D030040B21Rik,0.026,0,0,0,0,0,0,0,0.032,0,0,0,0,0,0,0,0,0
Tmem70,30.12,25.597,15.045,21.21,24.061,28.394,29.012,26.405,28.298,33.967,18.658,29.979,25.023,32.73,24.238,36.883,36.501,35.665
Ly96,8.633,8.095,4.052,8.509,5.964,9.988,11.41,7.572,7.336,11.984,8.233,5.466,6.607,4.859,7.773,10.072,7.752,6.555
Jph1,0.552,0.367,0.214,0.321,0.857,0.391,0.267,0.199,0.269,0.675,0.382,0.406,0.46,0.348,0.341,0.299,0.434,0.162
LOC108167615,0,0,0,0,0,0,0,0,0,0,0.037,0,0,0,0,0,0,0
Gm31982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28783,0,0,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0
Gdap1,0.987,0.367,0.676,0.635,1.287,0.784,0.521,0.816,1.168,1.027,0.477,1.491,0.866,1.535,0.411,0.687,0.755,0.715
Gm28784,0,0,0.015,0,0.021,0,0.025,0,0,0.026,0,0,0,0,0,0,0,0
Gm39597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pi15,0.388,0.611,0.249,1.153,0.839,0.206,0.556,0.543,0.616,8.888,0.49,0.52,0.343,0.733,0.494,2.505,1.173,0.869
Gm28154,0.036,0,0,0.072,0.266,0,0.035,0.255,0.066,0.037,0.037,0.112,0.024,0.069,0,0.023,0.141,0.034
Gm16070,0.033,0,0,0,0,0,0,0,0.041,0,0,0,0,0.043,0.042,0.042,0,0
Crispld1,0.366,0.215,0.066,0.095,0.273,0.229,0.061,0.14,0.227,0.364,0.163,0.312,0.286,0.263,0.155,0.051,0.129,0.349
Gm28153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crisp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defb44-ps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defb18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defb41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tfap2d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tfap2b,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0
Gm32651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pkhd1,0.082,0.032,0.034,0.12,0.131,0.057,0.075,0.227,0.16,0.081,0.011,0.208,0.141,0.296,0.011,0.132,0.074,0.126
4930486I03Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linc-md1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir133b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il17a,0,0,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
Il17f,0.115,0,0,0.069,0.076,0.277,0,0.045,0,0.187,0.073,0.202,0.088,0.172,0.171,0.338,0,0.339
Mcm3,22.509,9.222,4.732,5.165,8.399,6.861,19.887,6.079,10.529,32.095,8.68,7.144,8.198,10.153,10.055,37.254,27.151,19.102
6720483E21Rik,0.068,0,0,0.283,0,0,0,0.08,0.084,0.194,0.077,0,0.091,0.089,0,0.087,0,0
Paqr8,3.863,2.74,2.95,3.019,2.903,2.399,3.225,4.81,3.831,8.126,2.59,7.266,4.34,3.758,2.736,7.192,6.66,6.747
Efhc1,0.687,0.505,0.549,0.258,0.357,0.305,0.321,0.231,0.611,1.237,0.384,0.378,0.333,0.662,0.324,0.436,0.325,0.277
Tram2,3.019,2.367,1.133,1.095,1.407,2.462,1.497,1.397,1.155,4.958,0.534,2.834,2.279,2.381,1.697,3.44,1.918,2.207
Tmem14a,4.1,3.974,1.169,1.335,2.687,5.426,4.182,1.632,2.323,4.99,3.833,1.934,2.946,4.185,4.421,2.05,2.613,2.741
Gm32947,0.024,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28836,0,0,0,0,0,0.071,0,0,0,0,0,0,0,0,0,0,0,0
Gsta3,5.205,13.222,3.084,7.876,26.728,4.342,4.759,18.279,15.759,8.022,6.31,12.208,3.595,6.367,6.725,3.166,10.393,21.275
Gm4956,0.137,1.209,0.057,0.139,0.307,1.645,0.091,0,0.168,0,1.923,0.105,0,0.089,0.528,0.088,0,0
Khdc1a,0.186,0,0,0,0.042,0.417,0.049,0,0.046,0.313,0.547,0,0,0,0.048,0.056,0,0
Khdc1c,0,0,0,0,0,0,0,0,0,0,0.172,0,0,0,0,0.229,0.255,0
Gm33147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khdc1b,0,0.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kcnq5,0.824,0.395,0.382,0.356,0.25,0.399,0.283,0.257,0.406,0.592,0.377,0.559,0.23,0.791,0.235,0.131,0.223,0.303
Rims1,0.619,0.883,0.884,1.279,1.972,1.38,0.533,1.364,0.934,1.362,1.096,1.448,1.737,3.056,0.712,0.83,0.789,1.109
Gm7759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4933415F23Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm30442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm29506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir30a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir30c-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ogfrl1,6.18,5.65,3.263,2.672,3.224,3.721,4.314,2.459,3.478,9.104,2.839,4.725,4.345,4.829,4.262,8.396,2.798,3.061
Gm19673,0,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0.024,0,0
Gm28822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3gat2,0.049,0.048,0,0.017,0.019,0,0,0.019,0.02,0.046,0,0.05,0.044,0.086,0,0,0.065,0
Smap1,47.375,54.517,27.376,44.299,45.765,51.762,42.47,43.024,43.233,53.733,38.986,56.622,61.279,55.876,51.403,53.387,51.118,55.613
Gm26524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sdhaf4,31.62,28.795,22.429,26.484,26.131,31.552,27.022,27.978,28.791,33.122,28.668,31.18,31.567,30.199,26.695,31.76,23.963,31.248
Fam135a,26.21,29.159,8.085,14.798,14.037,39.41,30.724,21.168,24.163,23.084,22.024,32.92,33.505,31.804,31.482,24.1,25.98,23.286
Col9a1,0,0,0,0.093,0,0.062,0,0,0.055,0.031,0.049,0,0.029,0.059,0.029,0.028,0,0.058
Col19a1,0.007,0.01,0.011,0.013,0.015,0,0.009,0.023,0.008,0.037,0,0.01,0.026,0.051,0,0,0.026,0.017
Lmbrd1,22.673,20.857,12.16,16.702,14.429,28.941,20.301,24.049,23.793,17.535,13.969,28.143,26.323,22.846,20.292,20.002,21.786,21.976
Gm29414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adgrb3,0.281,0.225,0.446,0.537,0.472,0.462,0.145,0.302,0.401,0.224,0.309,0.597,0.62,0.579,0.22,0.202,0.341,0.277
Gm20172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067,0,0.068
LOC108167844,0.012,0,0,0,0.041,0.07,0,0,0,0,0.013,0.019,0.05,0,0.016,0,0.032,0
Gm39614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm31076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm31136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4931408C20Rik,0.046,0.09,0.052,0,0,0.043,0,0,0,0.022,0,0,0,0,0.059,0,0,0
Gm5524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7846,7.124,8.064,6.7,8.313,7.973,8.379,11.616,2.857,4.211,15.609,7.359,2.968,4.068,7.062,7.428,10.768,11.902,5.414
Gm597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC108167331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir6342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm31465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm31525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm39615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm31581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phf3,19.58,16.099,8.802,13.67,12.687,18.943,16.667,15.765,18.901,19.791,11.129,17.477,18.448,20.557,14.933,16.629,18.366,16.862
Ptp4a1,60.395,60.298,64.189,89.118,78.965,54.3,73.114,82.948,70.092,76.042,53.493,107.784,97.729,86.714,62.306,133.53,104.702,101.707
Gm28644,0,0,0,0,0,0,0,0.058,0.041,0,0.081,0.028,0,0.023,0.049,0,0,0.023
Gm29669,0,0,0,0,0.107,0,0,0.108,0.114,0,0.105,0,0,0,0,0.119,0.121,0.118
4931428L18Rik,0,0,0,0,0.082,0,0,0,0.264,0,0,0.326,0.095,0,0,0.914,0,0.183
Lgsn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pih1d3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm4850,0,0,0,0,0,0,0,0,0,0.126,0,0,0,0,0.462,0,0,0
Khdrbs2,0.104,0.08,0.179,0.142,0.316,0,0.091,0.12,0.127,0.145,0.151,0.497,0.145,0.605,0.089,0.176,0.143,0.07
Gm9839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5415,0,0.03,0.017,0,0,0,0,0,0,0,0,0,0,0.054,0,0,0,0
LOC108167822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm39616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm39617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prim2,12.554,6.964,2.653,4.966,4.044,5.755,15.302,4.796,5.87,18.344,5.506,4.495,8.478,7.43,6.833,22.048,13.22,11.633
Gm39618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700001G17Rik,0.366,0.267,0.171,0.097,0,0.637,0,0.106,0.34,0.13,0.422,0.138,0.24,0.362,0.359,0.231,0.244,0
Gm32229,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314,0,0,0,0
Rab23,5.247,3.403,2.191,2.736,5.585,4.055,3.437,3.654,4.431,9.638,3.156,5.361,6.176,6.888,3.801,7.243,4.152,4.946
Bag2,5.935,5.412,3.133,3.943,13.326,2.794,4.791,5.232,4.26,22.633,4.46,8.958,8.47,11.636,4.741,16.416,7.03,10.509
Zfp451,9.031,6.243,3.085,4.232,5.115,7.606,7.734,6.988,6.921,11.131,4.354,7.272,5.861,8.741,6.088,7.87,8.606,7.222
Gm15455,0.517,0.39,0.185,0.187,0.609,0.339,0.352,0.284,0.386,0.668,0.33,0.201,0.384,0.463,0.468,0.593,0.442,0.547
Bend6,0.733,0.523,0.557,0.449,1.244,0.365,0.128,0.295,0.303,0.959,0.168,0.661,0.703,0.938,0.735,0.355,0.404,0.473
Gm38471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dst,18.521,17.705,12.09,16.525,22.097,21.813,12.166,26.381,23.159,21.864,16.578,31.985,28.715,31.745,16.858,21.02,20.955,22.219
Mir6896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC108167617,0.227,0.666,0.392,0,0,0.641,0,0,0.141,0,0.249,0,0,0.593,0.147,0,0,0
Mir5103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccdc115,17.61,13.617,10.693,10.944,15.222,13.462,15.615,12.857,14.969,20.866,13.247,13.604,12.813,14.401,14.195,23.317,22.971,19.856
Imp4,22.236,16.752,9.527,13.224,15.07,17.639,20.762,19.091,21.034,26.041,12.612,19.208,17.443,19.239,15.794,30.102,28.26,26.754
Gm32504,1.221,0.512,0.163,0.749,0,1.471,0.912,0.203,0.435,0.745,0.203,0.787,0.918,0.464,0.689,0.222,0.232,0.229
Ptpn18,52.765,36.655,35.089,38.701,44.568,46.322,42.14,42.332,42.059,45.323,44.698,45.787,42.164,51.252,43.225,38.429,47.725,56.616
Gm32566,2.094,1.086,0.862,0.415,1.054,1.772,1.04,1.122,0.834,1.449,1.1,1.2,0.755,1.101,1.334,0.577,0.96,0.792
4930568A12Rik,0,0,0,0,0,0,0,0,0,0.164,0,0,0,0,0,0,0,0
Prss39,0,0,0,0,0,0,0.077,0,0,0,0,0,0,0,0,0,0,0
Cfc1,0,0,0,0,0,0.102,0,0,0,0,0,0,0,0,0,0,0,0
Prss40,0,0,0,0,0,0,0,0,0.105,0,0,0,0,0,0,0,0,0
Amer3,0.089,0.043,0.082,0.11,0.07,0.041,0.039,0.035,0.037,0.105,0.051,0.157,0.02,0.058,0.077,0.038,0.059,0.076
AA619741,0,0,0,0,0,0,0,0,0,0,0,0.038,0,0,0,0,0,0
Gm38647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm32920,0,0,0,0,0,0,0,0,0,0.141,0,0,0,0,0,0,0,0
LOC108167618,0,0,0,0,0,0,0.05,0.044,0,0,0,0,0,0,0,0,0,0
Gm32790,0.032,0,0,0,0.018,0,0,0.019,0.019,0,0,0,0,0,0.021,0,0,0.02
Arhgef4,0.958,0.481,0.401,0.457,0.543,0.422,0.361,0.44,0.436,0.931,0.32,0.456,0.466,0.697,0.396,0.8,0.3,0.556
Fam168b,48.486,32.783,21.439,33.106,31.234,42.093,29.968,34.089,36.605,50.232,29.491,37.029,34.933,40.467,34.379,38.297,42.114,42.851
Plekhb2,168.833,171.973,79.706,117.699,127.341,227.47,174.269,167.991,156.349,129.654,131.66,198.043,213.838,206.727,155.45,155.597,170.404,166.628
1110002O04Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm33176,0.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm39622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm33222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103
Gm39623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm39624,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.039
Hs6st1,29.878,19.503,19.138,23.895,21.445,23.807,21.71,29.441,26.396,35.335,21.738,19.04,19.203,25.667,23.521,31.394,34.081,39.742
Gm33280,0.046,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uggt1,28.023,20.171,6.497,10.377,18.268,22.629,33.279,17.407,20.669,33.689,13.586,19.301,23.26,28.237,17.459,33.764,30.901,29.717
Mir6897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm39625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neurl3,82.76,91.539,72.739,84.582,62.754,109.505,75.777,108.125,107.403,82.432,78.698,79.113,90.371,88.134,96.249,120.051,118.661,106.839
Arid5a,4.336,1.623,2.347,2.104,2.209,0.961,2.104,1.428,1.822,6.956,1.097,1.62,2.296,1.574,1.653,6.288,2.015,2.688
Kansl3,30.601,28.206,13.728,22.378,18.946,36.858,20.972,30.27,31.317,27.622,25.187,33.338,31.403,34.387,30.708,20.254,27.682,25.502
Mir6898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fer1l5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lman2l,13.415,10.345,7.64,5.981,9.677,11.144,10.093,12.003,10.086,14.023,8.67,12.304,11.158,13.344,8.77,11.347,11.933,10.583
